date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2016-03-10,7503.42,7376.7,7568.24,7364.29,87401500.0,116041793536.0,2.72,-1.65,-123.47,0.88
2016-03-11,7284.95,7349.57,7401.51,7239.56,75245883.0,97243488256.0,2.2,-0.37,-27.13,0.76
2016-03-14,7441.09,7640.13,7715.64,7441.04,120335729.0,162135154688.0,3.74,3.95,290.56,1.21
2016-03-15,7612.97,7571.82,7668.85,7537.79,99636093.0,138936750080.0,1.72,-0.89,-68.31,1.0
2016-03-16,7633.75,7484.23,7659.05,7426.95,91359383.0,125438590976.0,3.07,-1.16,-87.59,0.92
2016-03-17,7514.68,7779.88,7795.71,7514.58,133550636.0,189804896256.0,3.76,3.95,295.65,1.34
2016-03-18,7823.57,8097.2,8118.71,7820.29,181322737.0,259300761600.0,3.84,4.08,317.32,1.82
2016-03-21,8206.53,8325.98,8326.38,8172.85,191675069.0,276552347648.0,1.9,2.83,228.78,1.93
2016-03-22,8248.53,8311.21,8387.55,8203.09,164074442.0,241633452032.0,2.22,-0.18,-14.77,1.65
2016-03-23,8279.88,8408.64,8408.95,8262.26,146117448.0,226640670720.0,1.76,1.17,97.43,1.47
2016-03-24,8324.85,8279.65,8453.3,8247.29,160637356.0,251825672192.0,2.45,-1.53,-128.99,1.61
2016-03-25,8252.42,8343.24,8353.02,8211.84,124555553.0,190955253760.0,1.71,0.77,63.59,1.25
2016-03-28,8400.21,8298.78,8482.57,8266.55,142988613.0,215928721408.0,2.59,-0.53,-44.46,1.44
2016-03-29,8274.09,8119.0,8292.43,8040.76,124650563.0,179588562944.0,3.03,-2.17,-179.78,1.25
2016-03-30,8187.45,8438.68,8439.09,8187.45,139635610.0,211359322112.0,3.1,3.94,319.68,1.4
2016-03-31,8475.43,8447.18,8541.46,8414.89,150139446.0,235920248832.0,1.5,0.1,8.5,1.51
2016-04-01,8399.18,8389.29,8426.46,8240.87,127161060.0,189387452416.0,2.2,-0.69,-57.89,1.28
2016-04-05,8401.34,8635.67,8642.98,8380.46,156308362.0,235074760704.0,3.13,2.94,246.38,1.57
2016-04-06,8601.66,8691.23,8699.52,8579.43,159968937.0,247155544064.0,1.39,0.64,55.56,1.61
2016-04-07,8715.01,8549.51,8733.5,8549.51,158150556.0,244992634880.0,2.12,-1.63,-141.72,1.59
2016-04-08,8465.83,8484.17,8511.87,8359.54,133415288.0,204479385600.0,1.78,-0.76,-65.34,1.34
2016-04-11,8560.09,8677.41,8719.22,8560.09,143629778.0,222708547584.0,1.88,2.28,193.24,1.44
2016-04-12,8664.28,8608.37,8688.71,8501.04,132072148.0,207203553280.0,2.16,-0.8,-69.04,1.33
2016-04-13,8655.2,8729.84,8831.59,8655.2,174063296.0,260240818176.0,2.05,1.41,121.47,1.75
2016-04-14,8780.55,8837.02,8837.44,8711.79,139648320.0,211828649984.0,1.44,1.23,107.18,1.4
2016-04-15,8840.53,8841.1,8866.01,8777.97,131207613.0,202686930944.0,1.0,0.05,4.08,1.32
2016-04-18,8780.46,8715.85,8780.46,8646.33,126184988.0,195984859136.0,1.52,-1.42,-125.25,1.27
2016-04-19,8755.25,8754.5,8784.33,8678.97,112831795.0,178222698496.0,1.21,0.44,38.65,1.13
2016-04-20,8784.65,8312.2,8798.78,8158.82,180286505.0,268723826688.0,7.31,-5.05,-442.3,1.81
2016-04-21,8268.02,8198.51,8382.27,8185.37,121190771.0,177356189696.0,2.37,-1.37,-113.69,1.22
2016-04-22,8130.9,8282.42,8282.9,8112.33,95979533.0,141605208064.0,2.08,1.02,83.91,0.96
2016-04-25,8246.03,8232.48,8261.95,8106.07,89622024.0,131810738176.0,1.88,-0.6,-49.94,0.9
2016-04-26,8218.47,8343.42,8343.71,8202.15,88430554.0,129001738240.0,1.72,1.35,110.94,0.89
2016-04-27,8357.26,8323.46,8426.83,8307.39,102936177.0,150227603456.0,1.43,-0.24,-19.96,1.03
2016-04-28,8319.22,8303.56,8336.13,8130.93,104958784.0,152800366592.0,2.47,-0.24,-19.9,1.05
2016-04-29,8253.48,8291.7,8340.58,8239.79,81485852.0,122400452608.0,1.21,-0.14,-11.86,0.82
2016-05-03,8290.79,8558.58,8558.58,8256.68,115718541.0,176283680768.0,3.64,3.22,266.88,1.16
2016-05-04,8526.31,8565.11,8632.7,8514.49,117296051.0,182218543104.0,1.38,0.08,6.53,1.18
2016-05-05,8549.33,8628.74,8631.98,8522.15,102759921.0,159725096960.0,1.28,0.74,63.63,1.03
2016-05-06,8632.45,8276.03,8663.07,8275.97,146570762.0,223215783936.0,4.49,-4.09,-352.71,1.47
2016-05-09,8180.63,7918.15,8180.7,7876.17,115454408.0,162854010880.0,3.68,-4.32,-357.88,1.16
2016-05-10,7898.65,7898.66,7961.59,7855.29,73811218.0,106923880448.0,1.34,-0.25,-19.49,0.74
2016-05-11,7950.38,7823.98,7973.6,7800.97,81092252.0,116424749056.0,2.19,-0.95,-74.68,0.82
2016-05-12,7706.13,7821.91,7822.76,7570.92,86855483.0,120734408704.0,3.22,-0.03,-2.07,0.87
2016-05-13,7794.62,7806.96,7902.0,7758.26,78814838.0,115494293504.0,1.84,-0.19,-14.95,0.79
2016-05-16,7783.3,7961.15,7961.43,7744.88,83332777.0,121545887744.0,2.77,1.98,154.19,0.84
2016-05-17,7964.51,7961.5,8040.2,7901.18,99759675.0,151255601152.0,1.75,0.0,0.35,1.0
